MotID;Heiti;Stadur;Upphafsdagur;Lokadagur;LidID;EinstID;Lysing;Timastimpill;ByrjaTimi;EndaTimi;MinuturALeik;Stigaregla;Stada;MaxHrinur;TwitterTag
17;Íslandsmót BLÍ (yngri fl.);KA heimilið;2002-04-14 00:00:00.000;2002-04-14 00:00:00.000;658;678;Íslandsmót BLÍ - vor 2002 - yngri flokkar;2002-04-09 22:32:21.560;1899-12-30 09:00:00.000;1899-12-30 16:00:00.000;30;"BLÍ       ";G;NULL;NULL
18;Hraðmót Fylkis (karlar);Fylkishöll Árbæ;2002-04-21 00:00:00.000;2002-04-21 00:00:00.000;125;1131;Karladeild í hraðmóti Fylkis;2002-04-20 12:20:55.123;1899-12-30 09:00:00.000;1899-12-30 23:00:00.000;20;"BLÍ       ";L;NULL;NULL
20;De Nordiske Hospitalslege;Reykjavík;2002-06-14 00:00:00.000;2002-06-15 00:00:00.000;110;157;De Nordiske Hospitalslege;2002-05-28 21:13:15.857;1899-12-30 09:00:00.000;1899-12-30 18:00:00.000;40;"BLÍ       ";L;3;NULL
21;Haustmót KA;KA heimilið;2001-11-23 00:00:00.000;2001-11-24 00:00:00.000;144;678;;2002-09-04 10:54:22.343;1899-12-30 08:00:00.000;1899-12-30 23:00:00.000;45;"BLÍ       ";S;3;NULL
22;Haustmót KA;KA heimilið Akureyri;2002-11-15 00:00:00.000;2002-11-16 00:00:00.000;144;678;Árlegt haustmót KA;2002-09-04 11:27:51.327;1899-12-30 08:00:00.000;1899-12-30 23:45:00.000;35;"BLÍ       ";L;3;NULL
23;Afmælismót BLÍ;Mosfellsbær;2002-10-05 00:00:00.000;2002-10-05 00:00:00.000;1008;1217;Opið mót í karla og kvenna flokkum.;2002-09-18 13:33:43.843;1899-12-30 10:00:00.000;1899-12-30 20:00:00.000;45;"Öld2000   ";G;NULL;NULL
24;Búnaðarbankamót Snæfells 2002;Stykkishólmur;2002-11-09 00:00:00.000;2002-11-09 00:00:00.000;22;342;;2002-09-20 15:33:57.810;1899-12-30 09:00:00.000;1899-12-30 23:00:00.000;30;"BLÍ       ";L;3;NULL
25;Íslandsmót;;2002-10-15 00:00:00.000;2003-03-31 00:00:00.000;1008;1217;;2002-09-24 16:42:24.390;1899-12-30 08:00:00.000;1899-12-30 23:00:00.000;45;"BLÍ       ";G;5;NULL
26;Brosmót Aftureldingar 2002;Varmá;2002-11-16 00:00:00.000;2002-11-16 00:00:00.000;156;265;Brosmót Aftureldingar 2002 að Varmá;2002-10-23 13:14:19.030;1899-12-30 09:00:00.000;1899-12-30 17:00:00.000;45;"BLÍ       ";L;3;NULL
27;Íslandsmót BLÍ (yngri flokkar);Neskaupstað;2002-11-09 00:00:00.000;2002-11-10 00:00:00.000;406;185;;2002-11-04 08:15:19.577;1899-12-30 09:00:00.000;1899-12-30 19:00:00.000;40;"BLÍ       ";G;3;NULL
28;Nýársmót Völsungs;Húsavík;2003-01-11 00:00:00.000;2003-01-11 00:00:00.000;75;122;Nýársmót Völsungs Húsavík;2002-11-19 10:11:31.880;1899-12-30 08:00:00.000;1899-12-30 20:00:00.000;40;"BLÍ       ";G;3;NULL
29;HK trimm 2003;Digranesi;2003-01-04 00:00:00.000;2003-01-05 00:00:00.000;110;157;20. trimmmót HK;2002-11-27 22:00:06.727;1899-12-30 09:00:00.000;1899-12-30 23:00:00.000;30;"BLÍ       ";L;3;NULL
30;Áramót 2003;Varmá, Mosfellsfæ;2003-12-31 00:00:00.000;2003-12-31 00:00:00.000;695;479;Einstaklingsmót Öldunga;2002-12-05 09:04:13.983;1899-12-30 10:00:00.000;1899-12-30 15:00:00.000;45;"BLÍ       ";F;3;NULL
31;Kjörísmót Hamars;;2003-04-05 00:00:00.000;2003-04-05 00:00:00.000;138;322;;2002-12-11 14:57:07.200;1899-12-30 08:00:00.000;1899-12-30 23:00:00.000;40;"BLÍ       ";L;2;NULL
32;Dímonarmót;Hvolsvöllur;2003-01-25 00:00:00.000;2003-01-25 00:00:00.000;363;889;Árlegt Dímonarmót;2003-01-03 08:39:20.753;1899-12-30 10:00:00.000;1899-12-30 17:00:00.000;30;"BLÍ       ";L;2;NULL
33;Bresamót 2003;Íþróttahúsið Vesturgötu;2003-03-08 00:00:00.000;2003-03-08 00:00:00.000;148;85;hraðmót;2003-01-24 16:29:04.663;1899-12-30 08:00:00.000;1899-12-30 22:00:00.000;30;"BLÍ       ";L;2;NULL
