LidID;Nafn;Radnumer;LidaTegundID;SyndarLid;Timastimpill;SyndarlidID
2656;NATO Women;1;39;0;2006-03-20 14:24:57.187;NULL
2657;Blakendur;NULL;38;0;2006-03-21 21:42:20.733;NULL
2690;UMFG-Karlar;NULL;20;0;2006-03-30 08:59:46.717;NULL
2691;Álftanes A;NULL;39;0;2006-04-02 17:23:01.140;NULL
2692;Álftanes B;NULL;39;0;2006-04-02 17:30:56.030;NULL
2693;Grótta;NULL;23;0;2006-04-03 09:48:01.950;NULL
2694;HAVST;1;20;0;2006-04-03 13:42:07.420;NULL
2695;HAVST;NULL;20;0;2006-04-03 13:43:37.467;NULL
2696;Bragi;NULL;22;0;2006-04-03 15:29:49.950;NULL
2697;Hvannir A;NULL;23;0;2006-04-03 18:06:50.560;NULL
2778;Víkingur Ó gestir;NULL;38;0;2006-04-11 15:55:44.340;NULL
2791;Gestir;NULL;39;0;2006-04-11 16:30:52.983;NULL
2792;VST;NULL;20;0;2006-04-11 18:27:24.140;NULL
2840;UMFG;NULL;38;0;2006-10-08 23:00:45.640;NULL
2841;UMFG b;NULL;38;0;2006-10-11 22:55:08.013;NULL
2842;UMFG;NULL;32;0;2006-10-19 13:33:27.593;NULL
2864;KA Freyjur A;NULL;21;0;2006-11-14 20:21:34.483;NULL
2865;KA Feyjur B;NULL;21;0;2006-11-14 20:24:13.640;NULL
2866;Auka;NULL;38;0;2006-11-15 22:17:43.340;NULL
2873;BB - Björgvin;NULL;38;0;2007-01-03 15:02:35.560;NULL
2874;Hilmar;NULL;34;0;2007-01-04 23:09:01.747;NULL
2875;KA 2;NULL;34;0;2007-01-04 23:13:00.670;NULL
2879;KA strákar;1;34;0;2007-01-04 23:14:57.233;NULL
2880;KA 2;7;34;0;2007-01-04 23:15:18.700;NULL
2898;Þróttur B - 2;NULL;39;0;2007-01-08 13:07:38.670;NULL
2899;Þróttur B - 3;NULL;39;0;2007-01-08 13:09:33.030;NULL
2900;Fra,;NULL;38;0;2007-01-10 17:31:59.687;NULL
2901;Lansinn b;NULL;21;0;2007-01-10 21:42:35.780;NULL
2909;Lansinn ÍLSP;NULL;21;0;2007-01-10 21:45:19.467;NULL
2910;Fylkir 3fl. blandað;NULL;33;0;2007-01-10 22:23:20.763;NULL
2915;"A2                                      ";NULL;21;1;2007-02-07 20:59:35.920;2915
2916;"A3                                      ";NULL;21;1;2007-02-07 20:59:35.967;2916
2917;"A1                                      ";NULL;21;1;2007-02-07 20:59:35.997;2917
2918;"B1                                      ";NULL;21;1;2007-02-07 20:59:36.013;2918
2919;"A4                                      ";NULL;21;1;2007-02-07 20:59:36.043;2919
2920;"A5                                      ";NULL;21;1;2007-02-07 20:59:36.060;2920
2921;"A2                                      ";NULL;21;1;2007-02-07 20:59:52.107;2921
2922;"A3                                      ";NULL;21;1;2007-02-07 20:59:52.123;2922
2923;"A1                                      ";NULL;21;1;2007-02-07 20:59:52.140;2923
2924;"B1                                      ";NULL;21;1;2007-02-07 20:59:52.153;2924
2925;"A4                                      ";NULL;21;1;2007-02-07 20:59:52.153;2925
2926;"A5                                      ";NULL;21;1;2007-02-07 20:59:52.187;2926
2972;Höttur 2;NULL;21;0;2007-03-09 15:06:56.187;NULL
2973;Álftanes C;NULL;39;0;2007-03-15 22:20:05.577;NULL
2974;HK-A 3. fl. drengja;NULL;38;0;2007-03-22 12:56:33.997;NULL
2975;Víkingur Ó;NULL;38;0;2007-03-26 22:35:47.903;NULL
2976;hrafnkell freysgoði;NULL;20;0;2007-04-02 10:14:18.530;NULL
2977;Þróttur B-United;NULL;39;0;2007-04-02 10:19:53.513;NULL
2978;KA K-lið;NULL;20;0;2007-04-02 10:55:00.280;NULL
2979;KA - Freyjur B;NULL;23;0;2007-04-02 17:12:44.873;NULL
2980;Broskarlar II;NULL;20;0;2007-04-02 20:26:17.670;NULL
2981;UNÞ b;NULL;20;0;2007-04-04 19:13:17.247;NULL
3004;Afturelding-4;NULL;21;0;2007-04-15 13:09:34.967;NULL
3005;HSK;NULL;38;0;2007-06-27 23:20:51.983;NULL
3006;UMSK;NULL;38;0;2007-06-27 23:22:10.903;NULL
3007;UMSE;NULL;38;0;2007-06-27 23:22:42.060;NULL
3008;HSH;NULL;38;0;2007-06-27 23:23:05.733;NULL
3009;HSK;NULL;39;0;2007-06-27 23:23:29.153;NULL
3010;UMSK;NULL;39;0;2007-06-27 23:23:53.060;NULL
3011;UMSE;NULL;39;0;2007-06-27 23:24:21.233;NULL
3012;HSH;NULL;39;0;2007-06-27 23:24:48.717;NULL
3013;ÍBR;NULL;39;0;2007-06-27 23:25:18.437;NULL
3028;Þróttur Rvk. - mfl. kvk.;NULL;39;0;2007-09-17 21:41:24.797;NULL
3029;Hk - utd.;NULL;21;0;2007-09-19 10:26:40.653;NULL
3030;HK 3.flokkur kk;NULL;38;0;2007-09-27 23:18:14.640;NULL
3031;HK utd.;NULL;39;0;2007-10-03 13:24:01.857;NULL
3032;Fylkir mfl.;NULL;39;0;2007-10-08 16:35:41.530;NULL
3033;Afturelding 2;NULL;21;0;2007-10-08 21:33:39.373;NULL
3034;Afturelding 1;NULL;21;0;2007-10-08 21:37:29.983;NULL
3035;Víkingur/Reynir;NULL;33;0;2007-10-09 08:27:58.780;NULL
3036;Víkingur/Reynir;NULL;32;0;2007-10-09 08:32:35.623;NULL
3037;Aftuelding 3.fl.pilta;NULL;21;0;2007-10-09 22:44:25.110;NULL
3038;Afturelding 2- 3.fl.pilta;NULL;21;0;2007-10-10 14:16:34.483;NULL
3039;Fylkir 3 fl. og konur;NULL;39;0;2007-10-11 16:46:20.187;NULL
3040;Fylkir B;NULL;38;0;2007-10-11 22:35:10.763;NULL
3106;"C1                                      ";NULL;21;1;2007-10-12 10:48:48.403;3106
3107;"C2                                      ";NULL;21;1;2007-10-12 10:48:48.420;3107
3108;"D1                                      ";NULL;21;1;2007-10-12 10:48:48.437;3108
3109;"D2                                      ";NULL;21;1;2007-10-12 10:48:48.437;3109
3110;"E1                                      ";NULL;21;1;2007-10-12 10:48:48.450;3110
3111;"E2                                      ";NULL;21;1;2007-10-12 10:48:48.450;3111
