MotID;LidID;EinstID;Timastimpill
2;85;487;2001-04-19 00:07:15.640
2;88;54;2001-04-07 13:25:34.170
2;89;89;2001-04-10 09:03:14.627
2;90;89;2001-04-10 09:23:02.847
2;91;716;2001-04-25 17:04:18.523
2;93;724;2001-04-07 14:55:52.277
2;94;876;2001-04-17 16:20:53.520
2;108;594;2001-04-05 00:16:02.057
2;112;89;2001-04-10 09:17:23.907
2;118;790;2001-04-14 16:13:35.887
2;120;270;2001-04-07 16:31:29.263
2;127;473;2001-04-25 18:05:29.680
2;129;574;2001-04-25 18:10:54.200
2;131;755;2001-04-11 08:36:56.537
2;139;736;2001-04-12 21:26:00.427
2;148;89;2001-04-10 09:35:50.837
2;151;905;2001-04-19 12:32:00.943
2;156;689;2001-04-03 13:08:41.277
2;168;721;2001-04-07 14:53:44.360
2;351;762;2001-04-11 17:12:15.917
2;356;358;2001-04-14 16:35:43.003
2;360;818;2001-04-25 11:24:15.277
2;361;826;2001-04-26 00:04:14.760
2;406;908;2001-04-20 20:28:08.720
3;20;556;2001-04-09 10:44:30.903
3;27;178;2001-04-10 10:33:43.030
3;88;54;2001-04-07 13:09:16.413
6;19;717;2001-11-13 09:55:32.687
6;34;698;2001-11-13 15:55:46.000
6;72;178;2001-11-09 17:15:50.013
6;79;699;2001-11-15 09:55:48.857
6;151;905;2001-11-12 20:52:21.873
7;27;750;2001-12-11 19:14:21.060
7;71;178;2001-12-11 19:10:39.107
7;72;178;2001-11-23 00:02:36.640
7;110;404;2001-11-16 11:18:59.230
7;351;762;2001-11-21 10:24:09.513
8;18;607;2001-12-28 16:23:35.373
8;27;178;2002-01-01 12:39:48.700
8;52;612;2001-12-18 10:16:29.797
8;54;612;2001-12-18 10:19:52.670
8;70;54;2001-12-28 15:39:15.950
8;73;178;2002-01-01 12:41:34.950
8;131;584;2001-12-19 08:24:17.700
8;363;891;2001-12-27 10:05:20.123
11;20;556;2002-03-01 09:13:06.543
11;27;178;2002-03-03 17:51:10.247
11;52;612;2002-02-27 16:33:36.810
11;54;612;2002-03-02 12:54:19.230
11;70;54;2002-03-04 10:14:42.140
11;71;178;2002-03-03 17:48:11.230
11;79;275;2002-03-01 15:00:06.047
11;108;594;2002-03-01 00:00:38.030
11;109;394;2002-03-01 00:07:54.013
11;131;584;2002-03-03 15:30:58.467
11;148;749;2002-02-24 20:35:12.233
11;363;891;2002-03-03 11:05:54.997
11;584;717;2002-02-27 09:42:11.200
14;71;178;2002-04-16 13:02:44.983
14;156;689;2002-04-18 10:58:45.467
14;363;891;2002-04-16 22:57:04.340
14;481;689;2002-04-16 21:44:13.653
14;482;962;2002-04-15 00:47:00.200
14;586;556;2002-04-15 22:27:51.403
14;670;1120;2002-04-16 02:53:05.140
15;18;607;2002-05-01 21:26:46.857
15;23;1026;2002-03-29 21:54:16.013
15;27;752;2002-03-27 11:42:47.250
15;29;1026;2002-03-29 22:08:08.640
15;34;262;2002-04-15 13:23:27.373
15;37;563;2002-03-07 21:34:39.730
15;38;564;2002-04-02 08:11:50.547
15;42;497;2002-04-15 23:25:54.827
15;43;1065;2002-04-14 15:34:30.373
15;44;1065;2002-04-14 15:47:50.687
15;52;612;2002-03-20 11:02:46.030
15;54;612;2002-03-20 11:09:11.763
15;70;54;2002-04-15 13:49:52.263
15;71;178;2002-03-19 13:09:51.340
15;72;178;2002-03-27 12:01:03.560
15;73;750;2002-03-27 12:08:38.577
15;79;275;2002-02-19 16:35:48.013
15;85;487;2002-04-12 12:17:34.950
15;93;275;2002-04-15 13:43:18.420
15;94;817;2002-04-09 16:32:36.013
