MotID;EinstID;Timastimpill;Upphafsstafir
84;76;2005-10-01 11:35:47.000;VGV
84;212;2005-10-01 11:36:56.560;AHS
84;393;2005-10-01 11:35:33.670;HHÍ
84;633;2005-10-01 11:44:28.937;PRM
84;952;2005-10-01 11:34:44.670;SG
84;961;2005-10-01 11:35:10.797;HK
84;1437;2005-10-01 11:46:38.653;AE
84;1591;2005-10-01 11:43:22.437;LJ
84;1611;2005-10-01 11:46:11.857;ÞSS
84;1687;2005-10-01 11:38:10.607;BV
109;76;2007-04-22 14:20:46.060;VGV
109;258;2007-04-22 13:58:57.310;ESV
109;785;2007-04-22 14:02:28.593;BSH
109;952;2007-04-22 12:23:33.060;SG
109;961;2007-04-22 14:01:26.293;HK
109;973;2007-04-22 14:05:07.950;LBS
109;1026;2007-04-23 11:39:02.857;MA
109;1341;2007-04-22 13:56:23.420;BB
109;1901;2007-04-22 14:07:31.890;JS
109;1914;2007-04-22 14:06:53.263;ÓJJ
109;1934;2007-04-22 14:08:33.640;RÁ
109;1984;2007-04-22 14:06:23.547;ÓA
109;2126;2007-04-22 14:08:58.030;HS
109;2139;2007-04-22 14:09:22.810;VV
109;2199;2007-04-22 14:02:11.840;IG
109;2284;2007-04-22 14:15:32.687;HV
109;2285;2007-04-22 14:17:55.327;KV
109;2286;2007-04-22 14:19:13.200;ERE
109;2287;2007-04-22 14:20:15.390;VA
109;2288;2007-04-22 14:21:52.937;FF
115;41;2007-11-09 00:13:51.530;ÁHG
115;149;2007-11-09 00:12:04.170;GS
115;637;2007-11-09 00:14:42.123;BB
115;1232;2007-11-09 00:14:16.233;BR
121;952;2008-04-21 18:01:31.373;SG
121;1437;2008-04-21 18:04:00.577;AE
121;1569;2008-04-21 18:05:00.030;UH
121;1934;2008-04-21 18:05:28.513;RÁ
121;1983;2008-04-21 18:04:48.500;ÓJJ
121;2126;2008-04-21 18:05:17.090;HS
121;2139;2008-04-21 18:03:29.590;VV
121;2140;2008-04-21 18:03:47.437;OÞJ
121;2284;2008-04-21 18:05:40.293;HV
121;2285;2008-04-21 18:06:00.060;KV
121;2323;2008-04-21 18:03:15.013;MT
121;2326;2008-04-21 18:02:37.327;IHG
152;296;2009-09-07 14:48:08.890;ÖF
152;2297;2009-10-02 14:26:27.297;NULL
156;16;2009-09-30 19:42:10.467;JÓV
156;212;2009-10-29 12:14:08.700;AHS
156;335;2009-09-30 20:18:26.467;HS
156;376;2009-09-30 20:18:15.360;ÁSG
156;395;2010-02-25 15:19:52.077;KSI
156;398;2009-09-30 20:13:44.343;AB
156;511;2009-10-18 17:39:54.873;AMR
156;524;2009-09-30 20:12:46.420;LH
156;528;2009-10-16 18:32:12.827;MBG
156;564;2009-10-29 13:20:03.217;ÓH
156;593;2009-10-18 17:33:38.560;MÞ
156;596;2009-09-30 20:19:30.500;UJ
156;692;2009-09-30 20:19:44.013;SF
156;842;2010-02-25 15:35:43.390;HÓ
156;889;2010-02-25 15:33:45.513;HM
156;948;2010-01-06 14:57:13.780;BB
156;951;2010-03-29 23:11:41.217;KVG
156;952;2009-09-30 19:41:56.983;SMG
156;958;2009-09-30 20:12:58.530;SJ
156;997;2009-09-30 20:14:59.373;KGG
156;1000;2010-02-25 15:29:09.607;BR
156;1023;2009-10-27 14:09:47.077;VÞH
156;1068;2010-02-25 15:19:28.450;SP
156;1196;2009-09-30 20:14:46.327;JÍ
156;1252;2009-09-30 20:16:35.373;LMH
156;1369;2010-01-08 11:51:41.763;KRR
156;1449;2010-02-25 15:28:38.077;SÖG
156;1556;2009-10-18 17:39:37.890;VG
156;1578;2010-04-08 01:01:25.467;AS
156;1584;2009-10-27 14:09:00.780;RKH
156;1590;2009-10-02 13:35:31.640;GM
156;1595;2010-01-08 11:52:03.200;HH
156;1663;2010-04-08 01:03:23.950;ABB
156;1816;2009-10-18 17:31:18.093;HK
156;1901;2009-09-30 20:17:13.327;JS
156;1934;2009-09-30 20:12:35.873;RÁ
156;1983;2009-09-30 20:12:22.390;ÓJJ
156;1984;2009-09-30 20:18:53.077;ÓA
156;2078;2009-10-18 17:40:07.107;GSV
156;2126;2010-01-06 14:57:26.360;HSIG
156;2139;2009-10-07 23:41:11.640;VV
156;2321;2010-02-25 15:49:51.497;GKR
156;2328;2009-09-30 20:14:24.670;KTB
156;2329;2010-04-08 01:02:28.403;MIK
156;2340;2009-09-30 20:20:02.373;BP
156;2491;2009-10-18 17:32:43.717;UMH
