MotID;LidID;EinstID;Timastimpill
15;112;139;2002-04-09 09:39:04.280
15;118;487;2002-04-29 12:36:25.950
15;125;112;2002-04-29 08:43:11.217
15;125;472;2002-04-26 08:14:16.297
15;126;1151;2002-04-29 08:46:54.077
15;129;413;2002-04-23 23:07:54.530
15;132;70;2002-04-24 09:47:25.373
15;132;327;2002-04-24 10:20:13.547
15;138;177;2002-04-19 09:25:46.233
15;140;153;2002-04-15 15:35:35.950
15;148;343;2002-04-16 19:57:47.280
15;152;228;2002-04-26 10:23:34.153
15;166;337;2002-04-05 14:16:59.327
15;170;1187;2002-05-07 22:07:32.547
15;171;894;2002-05-01 14:54:27.700
15;351;380;2002-04-12 09:48:46.327
15;352;878;2002-04-25 20:07:47.857
15;354;597;2002-04-29 08:48:38.043
15;354;782;2002-04-26 08:29:35.450
15;360;818;2002-04-07 20:49:51.093
15;361;826;2002-04-07 21:00:44.513
15;458;1056;2002-04-09 17:11:20.373
15;458;1057;2002-04-09 17:12:31.763
15;459;513;2002-04-13 18:57:35.687
15;464;345;2002-04-23 23:30:48.467
15;587;242;2002-05-02 13:29:32.607
15;658;905;2002-04-05 14:19:50.200
15;766;1198;2002-05-08 11:26:59.950
15;853;19;2002-05-04 19:22:29.170
17;676;1083;2002-04-13 08:41:17.200
17;685;185;2002-04-13 08:56:58.827
17;693;1087;2002-04-13 23:44:43.513
22;79;1245;2002-11-08 10:35:44.810
22;93;461;2002-11-08 10:48:22.833
22;168;726;2002-11-08 11:01:55.050
22;658;905;2002-11-04 19:46:40.233
22;1044;251;2002-11-05 21:25:07.733
22;1088;47;2002-11-13 00:40:19.550
24;1019;752;2002-11-05 22:26:05.623
25;1019;524;2002-11-13 13:25:42.253
25;1021;54;2002-10-11 20:14:10.653
26;52;175;2002-11-12 14:55:19.143
26;52;246;2002-11-12 14:55:14.737
26;89;397;2002-11-07 13:19:35.827
26;351;380;2002-11-13 17:28:39.613
26;587;242;2002-11-07 13:30:54.093
27;674;1083;2002-11-06 08:08:53.483
27;676;1083;2002-11-04 13:02:57.857
27;681;1026;2002-11-07 17:18:31.590
27;682;143;2002-11-07 17:10:34.060
27;683;189;2002-11-07 17:11:40.340
27;684;1240;2002-11-07 17:13:56.233
27;685;1241;2002-11-07 17:15:07.903
27;687;1026;2002-11-07 17:16:33.310
27;688;1026;2002-11-07 17:17:32.373
27;689;852;2002-11-07 17:09:16.433
27;1070;1153;2002-11-07 17:22:23.467
27;1071;1153;2002-11-07 17:23:34.653
27;1072;1153;2002-11-07 17:24:25.733
28;85;533;2003-01-09 08:26:07.853
28;1196;513;2003-01-06 00:18:36.013
28;1197;455;2003-01-08 15:57:53.960
29;27;750;2002-12-30 23:29:44.640
29;52;246;2002-12-23 10:52:38.297
29;54;175;2002-12-23 10:55:12.013
29;71;178;2002-12-30 23:33:40.733
29;72;178;2002-12-30 23:35:36.780
29;125;1251;2003-01-02 12:41:25.253
29;126;1150;2002-12-30 02:52:20.873
29;132;70;2002-12-26 22:16:58.377
